,userId,productId,score
0,A002211213O7OZD4NB6T4,B000J0C9SM,2.0
1,A00890531BOEEDK31WCBE,B0000CBK1L,5.0
2,A01676021JTRZ0XE5YS4A,B0009H754I,5.0
3,A03007643BIO3UI6ZO6ZR,B0008G8G8Y,5.0
4,A03043323VAO4JWT2G7HF,B000OVHWLK,4.0
5,A03725732OSSUOAYYL1B0,B000MT7TGM,3.0
6,A05486341NT19J2989Y4E,B0007XOEV6,5.0
7,A09208162TNO49MJZCTRO,B0006FUHGQ,5.0
8,A1000CXC2HWIIU,B0002KHBS2,5.0
9,A1000CXC2HWIIU,B0007XPYZ6,5.0
10,A100LMEGJBQ9HG,B000KVZ9W8,2.0
11,A100RWL4CLGIMH,B0000CBK1L,5.0
12,A1017AZQCFOUND,B000KJVRUI,5.0
13,A101D5G4E8VWL0,B000EOX28E,2.0
14,A101I1C4TRSKNO,B000F7DPEQ,5.0
15,A101N140H486ZE,B0002X4QKK,4.0
16,A1023G047FLOF7,B000JQM1DE,4.0
17,A1028M5Y31FV7G,B000F3V2R2,4.0
18,A102KLW5SXK28E,B000246F8A,5.0
19,A102NU7Z4UPHY7,B0006HUIYA,5.0
20,A102WPMSDW89WW,B0009PRF4U,1.0
21,A1037ILT600ND7,B000NQ63HU,5.0
22,A1039E3LDNXKXI,B000N2VE7I,5.0
23,A103GL0705FULD,B000OVK1O0,5.0
24,A103GXSXNU2EJ3,B000NP1ESO,4.0
25,A103IEEZ5YCVRE,B000N6KR90,4.0
26,A103IRKU1FGPMK,B000JQM1DE,5.0
27,A103KWX1QFCG6I,B00004T7VT,2.0
28,A1042XHOX3TKM9,B000S11SOS,5.0
29,A1043FWA3BL4FP,B000L7V5JM,4.0
30,A1046JW59MR8T4,B000OVNLH4,1.0
31,A1048GJ1M1JAZB,B00004Z613,3.0
32,A104PW5AXKTPNL,B0000CBK1L,5.0
33,A104UR5AX3MHG5,B000LS1T92,1.0
34,A1050KO9S9HXS5,B000KNHRG2,1.0
35,A1051FPB2YPFWS,B000A5CKH6,3.0
36,A1053OYX5IEBTT,B000H6KZYI,5.0
37,A105G3GP8ARVMS,B0000DC0T3,5.0
38,A105LFG3MT4N23,B000KNNKKE,4.0
39,A105MY9UBIJOT0,B0006ORAEO,2.0
40,A105TOJ6LTVMBG,B000J2D8QC,5.0
41,A105UBLRXI09AY,B000F7DPEQ,4.0
42,A1061VD15ULGUD,B0006SDOG8,5.0
43,A106F7F5MSWT95,B000NK5VY2,1.0
44,A106HTY80Q1G3M,B000GFWJCQ,5.0
45,A106JV1I3L7HAP,B000F7DPEQ,5.0
46,A106OWBHWB8WN9,B000OVPDHA,5.0
47,A106T2I1NKYNDU,B0000CBK1L,5.0
48,A106TWP09F0UEH,B000JQM1DE,5.0
49,A106ZBOXMF16A8,B000NWJTKW,5.0
50,A106ZBOXMF16A8,B000NWKEJW,5.0
51,A106ZBOXMF16A8,B000NWKO9M,5.0
52,A106ZBOXMF16A8,B000NWODU8,5.0
53,A106ZBOXMF16A8,B000NWOFNI,5.0
54,A106ZBOXMF16A8,B000Q5KVL2,5.0
55,A107A96H35AER1,B000P0RDY6,4.0
56,A107G4JL41VXN4,B000A7JJF0,5.0
57,A107H9APTEKSM8,B000065DPA,5.0
58,A107K8AJUOTGRQ,B0001DUD80,4.0
59,A107RZFBOB2KWQ,B000F3O1IY,4.0
60,A1086X0XXO401X,B000FKHM8S,2.0
61,A1087PE26Q9E2O,B000JQM1DE,5.0
62,A108G58PGYAM2Q,B00006B7P6,2.0
63,A108MRMBKM7C7C,B000F5VHQQ,5.0
64,A108Z49RERJK4O,B000JQM1DE,5.0
65,A109J2WWPO3H4M,B000MQSDXS,3.0
66,A109ME7C09HM2M,B000F8XIBA,5.0
67,A109ORALRL16KR,B000Q5Z5DG,5.0
68,A109WBWE4ZS0QT,B0000CBK1L,5.0
69,A109WX953UP263,B000J0C9SM,5.0
70,A10A50ITWFOY3Q,B000MQOV1G,5.0
71,A10AA7EV1KFMZS,B00006IC15,5.0
72,A10AJ4JTVHA9V8,B000MQOV1G,5.0
73,A10ATLUPG11Y9T,B000BROV02,5.0
74,A10AX0UNPN5PBH,B00081ANQ2,5.0
75,A10B1L5HOXP3Z9,B000H6NTD2,4.0
76,A10BB134QRWQI6,B000Q5Z1FS,5.0
77,A10BEJY2FJN0JN,B000N30NNI,5.0
78,A10BFT1541OZJQ,B000KMENJM,5.0
79,A10BK3VOSJDZCO,B000FBK43W,2.0
80,A10BNMZW0PXH1B,B0007CIOTA,1.0
81,A10C139979FKZF,B0000UJG3M,4.0
82,A10C4Q0FLZRZK6,B000BNLO3S,5.0
83,A10C9BMUP9PQ7L,B000CQI8XS,3.0
84,A10CB4DBF9H9UU,B0002BBYIE,4.0
85,A10CKKVSDK56RN,B000F7DPEQ,3.0
86,A10CNVEOJZ34YO,B000JQM1DE,4.0
87,A10COM41DC3H02,B0001DU6RS,2.0
88,A10CP8L9O97A49,B000A88MSE,1.0
89,A10CRW7XRJBJ2G,B000J0C9SM,5.0
90,A10DAX20MEBMLK,B000F7DPEQ,5.0
91,A10DW3WZMRE54P,B000NPIBH6,5.0
92,A10EJ950IW0YOA,B000JQM1DE,5.0
93,A10EN7WFRU9Q7W,B000KNJQ98,5.0
94,A10ERSEFIAHESG,B0007L6M9A,2.0
95,A10ERSEFIAHESG,B000BQL7FA,5.0
96,A10ERSEFIAHESG,B000H5OUPE,5.0
97,A10ES4EZTURVAR,B0009JCV2C,5.0
98,A10EUABYQ04VLZ,B000JQM1DE,5.0
99,A10EWWXIMO6MNL,B000I6498A,5.0
100,A10F0D8JQU9WBB,B0009I6SPE,3.0
101,A10F6NHW8GT7WA,B0002TMX4U,3.0
102,A10FNLX6S82G08,B000FBK446,5.0
103,A10G2K6SCAWKAG,B00000ISUU,3.0
104,A10GCVWB344512,B000H6KZYI,4.0
105,A10GX4CCBWCR2D,B000JQM1DE,1.0
106,A10H2HJMS3ADJ7,B00006B7P4,5.0
